t		Dm = 8 sig = 0.2		Dm = 8 sig = 0.5		Dm =10 sig = 0.2		Dm = 10 sig = 0.5
18.9		0.000158302		0.001153397		0.000133692		0.000947589
19		0.000157956		0.001152697		0.000135226		0.000959515
19.1		0.000158778		0.001161653		0.00013716		0.000973221
19.2		0.000159993		0.001180822		0.000139499		0.000991512
19.3		0.000161778		0.001201132		0.000145221		0.001028869
19.4		0.000163107		0.001210025		0.000146042		0.001038819
19.5		0.000167555		0.001238619		0.000146346		0.001044663
19.6		0.00017478		0.001279379		0.000154734		0.001089988
19.7		0.00016661		0.001212716		0.000144991		0.001022104
19.8		0.00016399		0.001190605		0.000141209		0.00099992
19.9		0.000166983		0.00121065		0.000142409		0.001007196
20		0.000172752		0.001251587		0.000147936		0.001039765
20.1		0.000171018		0.00124394		0.000145047		0.001022502
20.2		0.000169611		0.001238106		0.000140884		0.001000732
20.3		0.000174192		0.001272834		0.000142812		0.001018261
20.4		0.000182921		0.001339627		0.000149988		0.001062372
20.5		0.000178923		0.001321049		0.000146762		0.001046049
20.6		0.000171028		0.001264877		0.000140969		0.00100977
20.7		0.000168163		0.001241643		0.000138938		0.001000523
20.8		0.000166098		0.001228818		0.000135708		0.000984121
20.9		0.000164283		0.001221018		0.000133809		0.000973265
21		0.000162886		0.001214432		0.000134515		0.000977788
21.1		0.000163715		0.001225401		0.000137942		0.00099636
21.2		0.000166372		0.001248937		0.000139769		0.001009885
21.3		0.000165854		0.001241312		0.000136814		0.000990711
21.4		0.000166835		0.001250714		0.000139986		0.001006841
21.5		0.000167877		0.001255755		0.00014379		0.001031832
21.6		0.000172299		0.001290239		0.000148913		0.001070495
21.7		0.000174847		0.001315635		0.000153188		0.001100145
21.8		0.000172029		0.00130115		0.000155896		0.001113299
21.9		0.000165064		0.001251632		0.000146983		0.001058267
22		0.00016323		0.001234487		0.000143454		0.001040313
22.1		0.000162816		0.00123708		0.000140822		0.001024421
22.2		0.000163553		0.001249511		0.000140467		0.001022659
22.3		0.000165563		0.001269469		0.000141706		0.001032383
22.4		0.000169275		0.001299152		0.000144388		0.001052312
22.5		0.000176079		0.001362571		0.000150836		0.001094491
22.6		0.000182312		0.001435061		0.000154926		0.001119923
22.7		0.000178544		0.001417052		0.000145811		0.001059766
