t		SE_nodrifter		SE_drifter
1.23		1118.407492		0.051677403
1.24		1118.498304		0.051239343
1.25		1118.496802		0.049942535
1.26		1118.428637		0.049709542
1.27		1118.286299		0.050912933
1.28		1118.113313		0.04818015
1.29		1118.042687		0.048960969
1.3		1117.876503		0.046860291
1.31		1117.753835		0.046011074
1.32		1117.729439		0.047174015
1.33		1117.858634		0.046563932
1.34		1118.146835		0.047416861
1.35		1118.440233		0.044686163
1.36		1118.789514		0.043611773
1.37		1119.228606		0.045142916
1.38		1119.88059		0.044145014
1.39		1119.981117		0.043103009
1.4		1120.835298		0.044030251
1.41		1122.207924		0.041266749
1.42		1123.908532		0.036996692
1.43		1125.903757		0.035200381
1.44		1128.142254		0.035425537
1.45		1130.587214		0.034889368
1.46		1133.278649		0.03490047
1.47		1135.359627		0.034731617
1.48		1138.162944		0.034075404
1.49		1141.175205		0.033862387
1.5		1144.347401		0.033799047
1.51		1147.635533		0.033964891
1.52		1150.988634		0.033646959
1.53		1154.353125		0.0338377
1.54		1157.716571		0.033743419
1.55		1160.942347		0.033713014
1.56		1163.93051		0.033810029
1.57		1166.221209		0.033864562
1.58		1168.203895		0.033528229
1.59		1169.918874		0.034018186
1.6		1171.211751		0.034061165
1.61		1172.207518		0.034141635
1.62		1172.720798		0.033980384
1.63		1172.878327		0.034148067
1.64		1172.643804		0.03403389
1.65		1171.988037		0.033959672
1.66		1170.83257		0.034175416
1.67		1169.601813		0.0330842
1.68		1168.144033		0.033388379
1.69		1166.653196		0.03249774
1.7		1164.408349		0.033534104
1.71		1162.34788		0.032354362
1.72		1160.347773		0.032838738
1.73		1158.366403		0.031361438
1.74		1156.476317		0.031353196
1.75		1154.716088		0.030711755
1.76		1153.002827		0.03185217
1.77		1151.517466		0.030848384
1.78		1150.331467		0.030788669
1.79		1149.452022		0.030919798
1.8		1148.910229		0.030010942
1.81		1148.805034		0.030681425
1.82		1149.105378		0.029261161
1.83		1149.793431		0.028583944
1.84		1150.863024		0.028577436
1.85		1151.689337		0.027801385
1.86		1153.496023		0.028396164
1.87		1155.780327		0.027479159
1.88		1158.321889		0.026386414
1.89		1161.244302		0.026753013
1.9		1164.495745		0.026588457
1.91		1167.956333		0.026437895
1.92		1171.442863		0.025642668
1.93		1174.873029		0.025721821
1.94		1178.466374		0.026078901
1.95		1182.327171		0.026361342
1.96		1186.317547		0.025999458
1.97		1190.118348		0.026069831
1.98		1193.566252		0.023981127
1.99		1196.700491		0.026335066
2		1198.817911		0.022658561
2.01		1200.639197		0.024929618
2.02		1201.715638		0.023175203
2.03		1201.442708		0.023387234
2.04		1202.207281		0.022631297
2.05		1202.494208		0.023436907
2.06		1202.10414		0.022431238
2.07		1201.202472		0.023132375
2.08		1199.488796		0.021999475
2.09		1197.552508		0.022425698
2.1		1194.843754		0.021784783
2.11		1192.356318		0.022307792
2.12		1190.048554		0.021430466
2.13		1187.950172		0.022226802
2.14		1186.063553		0.02139383
2.15		1184.76417		0.022093686
2.16		1183.636853		0.021877602
2.17		1182.8253		0.022174198
2.18		1182.397296		0.022192993
2.19		1182.486661		0.021423008
2.2		1183.02622		0.02246433
2.21		1184.042116		0.021553774
2.22		1185.55284		0.022091116
2.23		1187.674791		0.021531271
2.24		1190.4369		0.02198626
2.25		1193.702494		0.021749567
2.26		1197.284599		0.021864583
2.27		1200.835974		0.021512405
2.28		1204.982712		0.021777786
2.29		1209.250439		0.021212535
2.3		1213.50533		0.021806203
2.31		1217.954702		0.021626576
2.32		1222.703035		0.021566066
2.33		1227.497092		0.020935222
2.34		1232.947038		0.020956165
2.35		1238.70943		0.020727139
2.36		1244.084512		0.021012027
2.37		1250.060393		0.018281251
2.38		1256.016537		0.017965226
2.39		1262.014691		0.016841708
2.4		1268.326723		0.020842536
2.41		1274.161259		0.019621757
2.42		1279.178389		0.017636065
2.43		1283.578149		0.018130526
2.44		1287.183282		0.016458294
2.45		1289.956164		0.014961757
2.46		1292.120876		0.0155727
2.47		1293.464632		0.012000655
2.48		1293.99835		0.01292077
2.49		1293.707319		0.011193748
2.5		1292.779712		0.011258868
2.51		1291.305036		0.008784506
2.52		1289.298717		0.007026961
2.53		1286.926604		0.004192436
2.54		1284.269123		0.003540679
2.55		1281.360176		0.003439715
2.56		1278.298701		0.002340704
2.57		1275.179013		0.001705064
2.58		1272.136928		0.001298495
2.59		1269.236701		0.001268603
2.6		1266.578698		0.001133021
2.61		1264.29435		0.001128692
2.62		1262.415901		0.001000418
2.63		1260.842971		0.001017408
2.64		1259.414682		0.000970927
2.65		1258.482422		0.000960739
2.66		1257.545646		0.000905622
2.67		1256.464699		0.000916111
2.68		1255.222921		0.000901643
2.69		1253.900818		0.000862548
2.7		1252.92544		0.000834616
2.71		1252.052447		0.000666847
2.72		1251.450016		0.000656066
2.73		1251.069535		0.000544064
2.74		1250.577175		0.00052495
2.75		1250.607804		0.000475967
2.76		1250.91308		0.000404185
2.77		1251.300938		0.000348287
2.78		1251.665921		0.00032954
2.79		1251.886654		0.00032361
2.8		1252.791556		0.000336844
2.81		1253.44113		0.000322343
2.82		1253.784662		0.000313527
2.83		1253.590842		0.000309293
2.84		1253.081046		0.000300623
2.85		1252.473949		0.000300652
2.86		1251.710436		0.000307379
2.87		1250.2464		0.000295276
2.88		1248.944543		0.000298482
2.89		1247.778396		0.000232736
2.9		1246.748436		0.000207503
2.91		1245.77534		0.000201114
2.92		1244.99846		0.000172311
2.93		1244.320874		0.000158544
2.94		1244.102166		0.000148077
2.95		1244.227158		0.000148452
2.96		1244.54516		0.00012978
2.97		1244.95213		0.000137857
2.98		1245.489271		0.000129895
2.99		1245.981901		0.000132924
3		1246.607658		0.000125531
3.01		1247.023064		0.000128711
3.02		1247.706102		0.000126078
3.03		1248.468373		0.000122472
3.04		1249.084331		0.000121589
3.05		1249.707438		0.000119186
3.06		1250.442951		0.000118144
3.07		1250.885798		0.000113246
3.08		1251.275808		0.000113232
3.09		1251.797246		0.000113563
3.1		1252.676848		0.000111172
3.11		1254.216429		0.000110719
3.12		1256.492913		0.000111187
3.13		1258.032797		0.000109465
3.14		1260.932863		0.00010844
3.15		1264.757232		0.000107628
3.16		1269.226598		0.000106957
3.17		1273.725229		9.99585E-05
3.18		1277.995871		0.000102458
3.19		1281.929072		9.59311E-05
3.2		1285.426425		9.86744E-05
3.21		1288.612702		9.52357E-05
3.22		1291.447732		9.32632E-05
3.23		1294.123891		8.8095E-05
3.24		1296.797078		8.63506E-05
3.25		1299.149174		8.60521E-05
3.26		1301.161345		8.20402E-05
3.27		1302.895394		8.12049E-05
3.28		1304.250659		8.15932E-05
3.29		1305.218175		8.01873E-05
3.3		1305.535635		6.73496E-05
3.31		1305.310734		6.1204E-05
3.32		1304.883642		5.97425E-05
3.33		1304.111909		5.6144E-05
3.34		1303.154301		5.38978E-05
3.35		1302.618847		5.09564E-05
3.36		1301.22404		5.02343E-05
3.37		1299.875059		4.96148E-05
3.38		1298.762204		5.08093E-05
3.39		1298.445708		4.78846E-05
3.4		1299.077019		5.05225E-05
3.41		1300.196044		4.75557E-05
3.42		1301.101279		4.8327E-05
3.43		1302.006672		4.64856E-05
3.44		1303.913538		4.79578E-05
3.45		1306.894755		4.55779E-05
3.46		1309.431799		4.60804E-05
3.47		1311.851662		4.44456E-05
3.48		1314.616345		4.53771E-05
3.49		1318.098045		4.54263E-05
3.5		1323.350185		4.58719E-05
3.51		1327.993555		4.4259E-05
3.52		1333.907804		4.53508E-05
3.53		1340.574814		4.3148E-05
3.54		1347.999271		4.4115E-05
3.55		1355.464741		4.35108E-05
3.56		1363.384523		4.3989E-05
3.57		1370.743072		4.335E-05
3.58		1378.006526		4.31749E-05
3.59		1384.983586		4.25231E-05
3.6		1391.483648		4.27482E-05
3.61		1396.701087		4.14177E-05
3.62		1401.589712		4.24347E-05
3.63		1404.999418		4.17737E-05
3.64		1409.664409		4.2555E-05
3.65		1413.874181		4.25206E-05
3.66		1417.531079		4.26056E-05
3.67		1420.371572		4.13048E-05
3.68		1422.808441		4.25427E-05
3.69		1424.654161		4.13017E-05
3.7		1425.072938		4.23809E-05
3.71		1424.517017		4.09491E-05
3.72		1421.268674		4.16813E-05
3.73		1414.124375		4.13642E-05
3.74		1410.299354		4.1241E-05
3.75		1405.88004		4.14272E-05
3.76		1399.008576		4.1284E-05
3.77		1390.846077		3.96567E-05
3.78		1383.019518		3.93774E-05
3.79		1375.345259		4.05916E-05
3.8		1367.534937		3.94479E-05
3.81		1359.514186		4.01485E-05
3.82		1351.933167		3.86424E-05
3.83		1345.03707		4.02786E-05
3.84		1338.995331		4.03781E-05
3.85		1333.569034		3.84725E-05
3.86		1328.450542		4.12315E-05
3.87		1324.351587		3.96483E-05
3.88		1321.45473		3.97191E-05
3.89		1318.751109		4.02587E-05
3.9		1317.42965		3.93122E-05
3.91		1318.05249		4.01658E-05
3.92		1320.284903		3.93768E-05
3.93		1324.540207		3.78377E-05
3.94		1330.268829		3.71024E-05
3.95		1337.076218		3.75317E-05
3.96		1344.352037		3.84061E-05
3.97		1352.951743		3.73994E-05
3.98		1362.242939		3.78093E-05
3.99		1371.923755		3.73749E-05
4		1381.737009		3.76911E-05
4.01		1390.189539		3.63851E-05
4.02		1398.601265		3.73353E-05
4.03		1407.190616		3.61801E-05
4.04		1417.048822		3.68342E-05
4.05		1426.626048		3.62745E-05
4.06		1434.885595		3.56657E-05
4.07		1442.87565		3.55607E-05
4.08		1450.876562		3.54293E-05
4.09		1458.931		3.49623E-05
4.1		1466.175694		3.52074E-05
4.11		1473.56024		3.44951E-05
4.12		1481.239152		3.44037E-05
4.13		1488.665113		3.45172E-05
4.14		1495.867979		3.43337E-05
4.15		1502.537815		3.4391E-05
4.16		1507.849599		3.41685E-05
4.17		1510.102534		3.41139E-05
4.18		1512.48541		3.41558E-05
4.19		1513.962189		3.39275E-05
4.2		1514.971504		3.34046E-05
4.21		1514.572684		3.21144E-05
4.22		1516.600849		3.21786E-05
4.23		1519.44875		3.14644E-05
4.24		1520.473505		3.17019E-05
4.25		1522.422105		3.11065E-05
4.26		1524.149032		3.16685E-05
4.27		1524.938277		3.11603E-05
4.28		1523.967194		3.08018E-05
4.29		1518.036634		3.10145E-05
4.3		1515.320357		3.08089E-05
4.31		1514.391072		3.08013E-05
4.32		1514.602308		3.05199E-05
4.33		1515.403363		3.03207E-05
4.34		1515.259113		3.00864E-05
4.35		1514.290462		2.99036E-05
4.36		1514.73968		3.0055E-05
4.37		1517.414236		2.98087E-05
4.38		1519.718454		2.97468E-05
4.39		1523.069884		2.993E-05
4.4		1527.532229		2.97204E-05
4.41		1532.71885		2.78411E-05
4.42		1538.273089		2.8612E-05
4.43		1543.944823		2.77034E-05
4.44		1548.81102		2.79696E-05
4.45		1554.100463		2.7597E-05
4.46		1559.777596		2.80668E-05
4.47		1565.535982		2.80795E-05
4.48		1572.032582		2.83699E-05
4.49		1580.752872		2.85743E-05
4.5		1590.793003		2.72458E-05
4.51		1599.600253		2.71432E-05
4.52		1605.470674		2.75578E-05
4.53		1608.095715		2.75472E-05
4.54		1609.374629		2.75658E-05
4.55		1612.474888		2.76364E-05
4.56		1617.597278		2.74759E-05
4.57		1623.035525		2.72732E-05
4.58		1629.28167		2.77124E-05
4.59		1636.839187		2.7682E-05
4.6		1645.740638		2.73772E-05
4.61		1654.212983		2.70285E-05
4.62		1661.749384		2.73611E-05
4.63		1669.631944		2.6178E-05
4.64		1677.674884		2.69391E-05
4.65		1684.61186		2.61487E-05
4.66		1690.35732		2.58844E-05
4.67		1695.013162		2.50176E-05
4.68		1695.813386		2.54674E-05
4.69		1697.236044		2.45943E-05
4.7		1695.976275		2.52269E-05
4.71		1693.032146		2.39634E-05
4.72		1690.935845		2.43277E-05
4.73		1688.532286		2.30894E-05
4.74		1684.93275		2.41225E-05
4.75		1679.378747		2.31722E-05
4.76		1679.511963		2.36284E-05
4.77		1683.432287		2.2689E-05
4.78		1690.549011		2.30772E-05
4.79		1700.115021		2.35187E-05
4.8		1711.041483		2.14398E-05
4.81		1722.947872		2.13028E-05
4.82		1734.924404		2.09473E-05
4.83		1747.326735		2.11549E-05
4.84		1761.376601		2.07611E-05
4.85		1775.522196		2.05369E-05
4.86		1790.022099		2.01889E-05
